PointId,Name,Lat,Lng,Adj
0,b6,14.077326,100.595844,1
1,point,14.077506,100.595805,0-2-8
2,point,14.077414,100.595299,1-3
3,point,14.077290,100.595218,2-4
4,point,14.076776,100.595629,3-5-10
5,point,14.076535,100.595456,4-6
6,point,14.076433,100.595624,5-7
7,ทิวสน,14.076268,100.595563,6
8,point,14.077595,100.596253,1-9
9,point,14.077183,100.596334,8-10
10,point,14.077022,100.596117,4-9
11,ตึกวิจัย,14.069486,100.605270,12
12,point,14.069388,100.605265,11-13-16
13,point,14.069385,100.605377,12-14
14,point,14.069146,100.605387,13-15-21
15,วิศวะ,14.069155,100.605616,14
16,point,14.069395,100.604531,12-17-18-19
17,โรงอาหาร1,14.069278,100.604528,16
18,โรงอาหาร2,14.069475,100.604526,16
19,point,14.069393,100.604402,16-20
20,sc,14.069455,100.604136,19
21,point,14.067411,100.605427,14-22
22,point,14.067390,100.605271,21-23
23,เชียงราก1,14.065686,100.605211,22
